SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
2022-23,24.0,TOR,NBA,PG,53.0,2.0,691.0,4.5,12.6,0.36,2.4,6.9,0.353,2.1,5.7,0.367,1.3,1.7,0.758,0.8,3.2,4.0,3.6,1.1,0.2,1.3,3.4,12.8,Malachi Flynn
2020-21,23.0,TOR,NBA,PF,20.0,2.0,392.0,4.0,7.7,0.524,0.0,0.0,0.0,4.0,7.7,0.524,2.1,3.0,0.697,3.9,5.1,8.9,0.8,1.2,1.8,1.1,3.9,10.2,Freddie Gillespie
2021-22,24.0,ORL,NBA,PF,9.0,2.0,119.0,2.7,6.7,0.409,0.0,0.3,0.0,2.7,6.4,0.429,0.9,2.1,0.429,3.9,7.0,10.9,1.5,0.9,2.7,1.5,5.4,6.4,Freddie Gillespie
2020-21,22.0,TOR,NBA,SG,13.0,2.0,172.0,7.5,15.1,0.5,3.6,7.5,0.472,4.0,7.5,0.528,1.5,1.9,0.778,0.6,3.1,3.8,3.6,1.7,0.0,2.9,3.1,20.1,Jalen Harris
2014-15,22.0,UTA,NBA,SG,50.0,21.0,1064.0,5.2,12.7,0.414,2.1,5.8,0.365,3.1,6.9,0.456,2.1,2.7,0.763,0.3,3.7,4.0,2.8,1.0,0.4,1.5,4.0,14.7,Rodney Hood
2015-16,23.0,UTA,NBA,SG,79.0,79.0,2541.0,5.8,13.8,0.42,2.3,6.4,0.359,3.5,7.4,0.472,2.4,2.8,0.86,0.5,3.2,3.8,3.0,1.0,0.2,1.8,2.9,16.3,Rodney Hood
2016-17,24.0,UTA,NBA,SG,59.0,55.0,1593.0,6.1,15.1,0.408,2.6,6.9,0.371,3.6,8.1,0.44,2.0,2.6,0.783,0.4,4.2,4.6,2.2,0.9,0.2,1.5,3.0,16.9,Rodney Hood
2017-18,25.0,TOT,NBA,SG,60.0,23.0,1616.0,7.2,16.7,0.429,2.8,7.4,0.381,4.3,9.3,0.467,2.5,2.9,0.86,0.5,3.2,3.7,2.1,1.0,0.3,1.6,2.3,19.6,Rodney Hood
2017-18,25.0,UTA,NBA,SG,39.0,12.0,1084.0,7.8,18.3,0.424,3.4,8.7,0.389,4.4,9.6,0.455,2.8,3.2,0.876,0.5,3.2,3.7,2.2,1.0,0.2,2.1,2.1,21.8,Rodney Hood
2017-18,25.0,CLE,NBA,SG,21.0,11.0,532.0,6.0,13.5,0.442,1.7,4.8,0.352,4.3,8.7,0.492,1.8,2.2,0.813,0.5,3.1,3.7,2.0,1.0,0.3,0.5,2.8,15.4,Rodney Hood
2018-19,26.0,TOT,NBA,SG,72.0,49.0,1893.0,5.6,12.8,0.435,1.6,4.5,0.356,4.0,8.3,0.478,2.6,2.9,0.884,0.5,2.5,3.0,2.4,1.1,0.2,1.0,2.8,15.3,Rodney Hood
2018-19,26.0,CLE,NBA,SG,45.0,45.0,1234.0,5.7,13.2,0.427,1.6,4.4,0.362,4.1,8.8,0.46,3.0,3.3,0.912,0.5,2.7,3.3,2.7,1.1,0.1,1.1,2.9,16.0,Rodney Hood
2018-19,26.0,POR,NBA,SG,27.0,4.0,659.0,5.4,11.9,0.452,1.6,4.6,0.345,3.8,7.3,0.519,1.8,2.2,0.805,0.4,2.1,2.5,1.9,1.1,0.4,1.0,2.5,14.1,Rodney Hood
2019-20,27.0,POR,NBA,SF,21.0,21.0,619.0,5.1,10.0,0.506,2.0,4.1,0.493,3.0,5.9,0.515,1.2,1.6,0.778,0.6,3.6,4.2,1.9,1.0,0.2,1.1,2.7,13.4,Rodney Hood
2020-21,28.0,TOT,NBA,SF,55.0,5.0,942.0,3.6,9.9,0.362,1.3,4.3,0.301,2.3,5.6,0.408,0.9,1.1,0.857,0.9,3.1,3.9,2.0,0.9,0.3,1.4,2.8,9.4,Rodney Hood
2020-21,28.0,POR,NBA,SF,38.0,5.0,726.0,3.6,10.0,0.363,1.2,4.2,0.298,2.4,5.8,0.41,0.4,0.6,0.75,0.9,2.7,3.6,2.3,1.0,0.2,1.5,2.9,8.9,Rodney Hood
2020-21,28.0,TOR,NBA,SF,17.0,0.0,216.0,3.5,9.8,0.356,1.5,4.8,0.31,2.0,5.0,0.4,2.5,2.7,0.938,0.8,4.2,5.0,1.0,0.7,0.5,0.8,2.5,11.0,Rodney Hood
2021-22,29.0,TOT,NBA,"PF,SF",52.0,0.0,709.0,2.9,8.0,0.369,1.5,4.6,0.33,1.4,3.4,0.424,0.9,1.0,0.895,0.8,3.1,3.9,1.9,0.8,0.3,0.6,1.6,8.3,Rodney Hood
2021-22,29.0,MIL,NBA,PF,39.0,0.0,581.0,2.9,8.1,0.351,1.5,5.0,0.3,1.4,3.2,0.431,0.8,0.9,0.929,0.8,3.3,4.2,1.9,0.7,0.2,0.4,1.7,8.0,Rodney Hood
2021-22,29.0,LAC,NBA,SF,13.0,0.0,128.0,3.4,7.3,0.462,1.7,3.1,0.545,1.7,4.2,0.4,1.1,1.4,0.8,0.6,2.3,2.8,2.3,0.8,0.6,1.1,1.1,9.6,Rodney Hood
2015-16,19.0,DET,NBA,SF,73.0,6.0,1687.0,4.8,12.8,0.375,1.3,4.4,0.307,3.5,8.4,0.41,1.7,2.2,0.784,1.2,5.3,6.5,2.5,1.2,0.3,2.4,3.8,12.7,Stanley Johnson
2016-17,20.0,DET,NBA,SF,77.0,1.0,1371.0,3.4,9.6,0.353,1.2,4.0,0.292,2.2,5.5,0.398,0.9,1.4,0.679,0.9,4.0,5.0,2.8,1.5,0.6,1.9,3.2,8.9,Stanley Johnson
2017-18,21.0,DET,NBA,SF,69.0,50.0,1894.0,4.0,10.6,0.375,1.3,4.4,0.286,2.7,6.2,0.439,2.1,2.8,0.772,0.6,4.2,4.8,2.1,1.8,0.3,1.5,3.2,11.4,Stanley Johnson
2018-19,22.0,TOT,NBA,SF,66.0,7.0,1208.0,5.1,13.1,0.389,1.8,6.4,0.288,3.2,6.7,0.484,1.5,1.9,0.781,1.0,5.5,6.5,2.6,1.8,0.4,2.4,3.4,13.5,Stanley Johnson
2018-19,22.0,DET,NBA,SF,48.0,7.0,961.0,5.0,13.1,0.381,1.9,6.8,0.282,3.1,6.3,0.488,1.5,1.9,0.804,0.9,5.6,6.6,2.2,1.8,0.5,2.1,3.4,13.4,Stanley Johnson
2018-19,22.0,NOP,NBA,SF,18.0,0.0,247.0,5.5,13.3,0.418,1.6,5.0,0.324,3.9,8.3,0.474,1.3,1.9,0.692,1.3,4.8,6.1,4.1,1.7,0.1,3.8,3.2,14.0,Stanley Johnson
2019-20,23.0,TOR,NBA,PF,25.0,0.0,150.0,5.3,14.2,0.373,1.7,5.8,0.292,3.6,8.4,0.429,2.2,3.8,0.563,1.7,7.2,8.9,4.8,1.4,1.0,3.6,3.8,14.4,Stanley Johnson
2020-21,24.0,TOR,NBA,PF,61.0,13.0,1006.0,3.2,8.3,0.382,1.6,4.9,0.328,1.6,3.4,0.458,1.6,2.0,0.8,1.0,4.4,5.5,3.2,1.9,0.6,1.9,4.2,9.6,Stanley Johnson
2021-22,25.0,LAL,NBA,PF,48.0,27.0,1094.0,3.9,8.3,0.466,1.1,3.5,0.314,2.8,4.8,0.575,1.7,2.4,0.716,1.1,4.0,5.1,2.6,1.4,0.5,1.2,3.6,10.5,Stanley Johnson
2022-23,26.0,SAS,NBA,SF,30.0,0.0,469.0,5.0,9.4,0.533,1.4,3.1,0.45,3.6,6.3,0.573,2.0,3.0,0.667,1.7,5.6,7.3,5.1,1.2,0.5,2.5,3.7,13.4,Stanley Johnson
2013-14,20.0,PHO,NBA,C,42.0,3.0,362.0,3.3,7.8,0.423,0.0,0.0,0.0,3.3,7.8,0.423,2.0,3.1,0.645,3.9,6.0,9.8,0.4,0.4,1.8,2.6,6.8,8.6,Alex Len
