SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
2019-20,30.0,ATL,NBA,C,10.0,8.0,233.0,5.1,13.0,0.393,1.2,5.6,0.222,3.9,7.4,0.521,1.1,1.2,0.875,2.2,10.5,12.7,1.1,1.5,2.3,1.5,6.2,12.5,Dewayne Dedmon
2020-21,31.0,MIA,NBA,C,16.0,0.0,210.0,7.9,11.1,0.708,0.2,0.9,0.2,7.7,10.3,0.75,3.4,4.6,0.741,4.8,9.9,14.7,2.1,1.5,1.0,2.2,6.2,19.4,Dewayne Dedmon
2021-22,32.0,MIA,NBA,C,67.0,15.0,1065.0,5.5,9.8,0.566,0.6,1.6,0.404,4.9,8.2,0.597,2.5,3.4,0.75,3.5,9.5,13.0,1.6,0.8,1.4,2.4,5.9,14.3,Dewayne Dedmon
2022-23,33.0,TOT,NBA,C,38.0,1.0,426.0,6.5,12.8,0.51,1.0,3.3,0.308,5.5,9.5,0.58,2.8,4.1,0.673,2.9,8.5,11.3,2.2,0.8,1.6,2.1,6.3,16.8,Dewayne Dedmon
2022-23,33.0,MIA,NBA,C,30.0,0.0,350.0,6.6,13.3,0.496,1.1,3.8,0.297,5.5,9.5,0.576,3.3,4.5,0.727,2.9,8.3,11.2,1.6,0.7,1.4,2.0,6.3,17.6,Dewayne Dedmon
2022-23,33.0,PHI,NBA,C,8.0,1.0,76.0,6.2,10.4,0.591,0.5,0.9,0.5,5.7,9.5,0.6,0.5,2.4,0.2,2.8,9.0,11.8,4.7,0.9,2.4,2.8,6.6,13.3,Dewayne Dedmon
2012-13,19.0,ORL,NBA,SF,76.0,59.0,1974.0,4.7,10.3,0.461,0.6,2.1,0.274,4.2,8.2,0.51,1.3,2.3,0.57,2.2,3.9,6.1,0.9,1.6,1.1,1.3,2.6,11.4,Maurice Harkless
2013-14,20.0,ORL,NBA,SF,80.0,41.0,1950.0,4.1,8.9,0.464,1.1,2.8,0.383,3.0,6.1,0.502,1.6,2.6,0.594,1.3,3.6,4.9,1.5,1.8,0.9,1.6,2.6,10.9,Maurice Harkless
2014-15,21.0,ORL,NBA,SF,45.0,4.0,674.0,3.4,8.4,0.399,0.5,3.0,0.179,2.8,5.4,0.52,1.2,2.2,0.537,2.0,3.6,5.7,1.3,1.7,0.5,1.4,3.5,8.4,Maurice Harkless
2015-16,22.0,POR,NBA,SF,78.0,14.0,1457.0,4.8,10.2,0.474,1.0,3.5,0.279,3.9,6.7,0.576,1.7,2.7,0.622,2.5,4.4,6.9,1.7,1.2,0.9,1.5,3.1,12.3,Maurice Harkless
2016-17,23.0,POR,NBA,SF,77.0,69.0,2223.0,5.1,10.1,0.503,1.1,3.1,0.351,4.0,7.0,0.572,1.2,2.0,0.621,2.0,3.5,5.5,1.4,1.4,1.1,1.4,3.5,12.5,Maurice Harkless
2017-18,24.0,POR,NBA,SF,59.0,36.0,1264.0,4.2,8.5,0.495,1.4,3.4,0.415,2.8,5.1,0.547,1.2,1.7,0.712,1.3,3.3,4.6,1.5,1.4,1.2,1.1,2.9,11.0,Maurice Harkless
2018-19,25.0,POR,NBA,SF,60.0,53.0,1415.0,4.8,9.9,0.487,0.8,3.1,0.275,4.0,6.8,0.582,1.2,1.9,0.671,2.0,4.9,6.8,1.9,1.7,1.3,1.1,4.1,11.7,Maurice Harkless
2019-20,26.0,TOT,NBA,"PF,SF",62.0,48.0,1427.0,3.6,7.1,0.502,0.9,2.5,0.347,2.7,4.7,0.584,1.0,1.7,0.591,1.4,4.7,6.1,1.7,1.5,0.8,1.3,3.7,9.0,Maurice Harkless
2019-20,26.0,LAC,NBA,PF,50.0,38.0,1141.0,3.5,6.8,0.516,0.9,2.3,0.37,2.7,4.5,0.59,0.8,1.3,0.571,1.5,4.8,6.3,1.5,1.5,0.9,1.5,3.8,8.7,Maurice Harkless
2019-20,26.0,NYK,NBA,SF,12.0,10.0,286.0,3.8,8.3,0.455,0.9,3.1,0.28,2.9,5.2,0.561,1.9,3.0,0.625,1.0,4.0,5.0,2.5,1.1,0.4,0.9,3.5,10.3,Maurice Harkless
2020-21,27.0,TOT,NBA,"PF,SF",37.0,23.0,772.0,3.2,7.7,0.418,1.1,3.9,0.274,2.1,3.8,0.568,1.5,2.0,0.767,0.6,3.5,4.2,2.1,1.4,0.9,1.0,4.0,9.0,Maurice Harkless
2020-21,27.0,MIA,NBA,SF,11.0,3.0,124.0,1.5,3.8,0.385,1.5,3.2,0.455,0.0,0.6,0.0,0.0,0.6,0.0,0.6,3.2,3.8,2.0,0.6,1.2,0.9,4.1,4.4,Maurice Harkless
2020-21,27.0,SAC,NBA,PF,26.0,20.0,648.0,3.6,8.4,0.421,1.0,4.1,0.247,2.6,4.4,0.582,1.8,2.3,0.805,0.6,3.6,4.2,2.1,1.6,0.9,1.1,4.0,9.9,Maurice Harkless
