SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLAYER
2016-17,32.0,WAS,NBA,C,82.0,82.0,2556.0,5.5,9.5,0.579,0.0,0.0,0.0,5.5,9.5,0.58,1.5,2.2,0.648,3.4,8.6,12.0,1.7,0.6,0.9,1.7,3.0,12.4,Marcin Gortat
2017-18,33.0,WAS,NBA,C,82.0,82.0,2075.0,5.0,9.7,0.518,0.0,0.0,0.0,5.0,9.7,0.518,1.9,2.8,0.675,3.1,7.7,10.8,2.6,0.7,1.1,1.7,3.0,12.0,Marcin Gortat
2018-19,34.0,LAC,NBA,C,47.0,43.0,751.0,4.7,8.9,0.532,0.0,0.0,0.0,4.7,8.9,0.532,1.7,2.3,0.729,3.2,9.3,12.5,3.1,0.3,1.2,2.4,4.4,11.2,Marcin Gortat
2004-05,19.0,UTA,NBA,PF,67.0,4.0,873.0,4.8,11.8,0.404,0.1,0.2,0.333,4.7,11.6,0.406,1.8,4.2,0.436,3.0,5.1,8.1,1.8,1.0,0.7,2.1,4.0,11.5,Kris Humphries
2005-06,20.0,UTA,NBA,PF,62.0,2.0,619.0,4.5,11.8,0.379,0.0,0.3,0.0,4.5,11.5,0.389,2.0,3.8,0.523,3.3,5.9,9.1,1.7,1.3,0.9,1.8,4.8,10.9,Kris Humphries
2006-07,21.0,TOR,NBA,PF,60.0,2.0,670.0,4.7,9.9,0.47,0.0,0.0,0.0,4.7,9.9,0.47,2.8,4.2,0.671,4.2,5.9,10.0,1.0,0.8,1.1,1.7,5.3,12.2,Kris Humphries
2007-08,22.0,TOR,NBA,PF,70.0,0.0,925.0,6.3,13.0,0.483,0.0,0.1,0.0,6.3,12.9,0.486,2.9,4.8,0.605,3.5,6.6,10.1,1.1,1.0,1.1,1.8,4.2,15.5,Kris Humphries
2008-09,23.0,TOR,NBA,SF,29.0,0.0,265.0,5.2,12.2,0.422,0.0,0.0,0.0,5.2,12.2,0.422,5.2,6.5,0.792,3.3,6.2,9.5,1.4,1.1,0.8,1.1,4.2,15.5,Kris Humphries
2009-10,24.0,TOT,NBA,PF,69.0,0.0,1221.0,5.3,12.0,0.441,0.0,0.0,0.0,5.3,12.0,0.442,3.7,5.6,0.668,3.5,7.6,11.1,0.9,1.1,1.4,1.9,4.3,14.4,Kris Humphries
2009-10,24.0,DAL,NBA,PF,25.0,0.0,315.0,6.1,13.1,0.461,0.0,0.0,0.0,6.1,13.1,0.461,2.9,5.0,0.568,4.3,6.5,10.9,0.8,0.8,1.3,1.5,4.9,15.0,Kris Humphries
2009-10,24.0,NJN,NBA,PF,44.0,0.0,906.0,5.0,11.6,0.433,0.0,0.0,0.0,5.0,11.6,0.435,4.1,5.8,0.699,3.3,8.0,11.2,1.0,1.2,1.5,2.1,4.1,14.1,Kris Humphries
2010-11,25.0,NJN,NBA,PF,74.0,44.0,2061.0,5.4,10.2,0.527,0.0,0.0,0.0,5.4,10.2,0.527,2.2,3.3,0.665,3.9,9.5,13.5,1.5,0.6,1.4,1.8,2.9,12.9,Kris Humphries
2011-12,26.0,NJN,NBA,PF,62.0,62.0,2162.0,5.4,11.2,0.481,0.0,0.0,0.0,5.4,11.2,0.481,3.5,4.6,0.752,3.9,7.5,11.3,1.5,0.8,1.2,2.0,2.9,14.2,Kris Humphries
2012-13,27.0,BRK,NBA,PF,65.0,21.0,1191.0,4.2,9.4,0.448,0.0,0.1,0.0,4.2,9.3,0.451,2.9,3.7,0.789,3.8,7.2,11.0,1.0,0.5,1.0,1.7,3.8,11.3,Kris Humphries
2013-14,28.0,BOS,NBA,PF,69.0,30.0,1376.0,6.0,12.1,0.501,0.0,0.1,0.0,6.0,12.0,0.503,3.1,3.8,0.813,3.3,7.4,10.7,1.8,0.8,1.6,1.7,3.6,15.1,Kris Humphries
2014-15,29.0,WAS,NBA,PF,64.0,17.0,1345.0,5.6,11.9,0.473,0.0,0.2,0.0,5.6,11.8,0.481,2.3,3.1,0.744,3.2,8.0,11.1,1.5,0.9,0.7,1.2,3.5,13.6,Kris Humphries
2015-16,30.0,TOT,NBA,PF,53.0,17.0,835.0,5.2,12.7,0.41,1.5,4.7,0.315,3.8,8.1,0.465,2.9,3.6,0.798,2.5,6.9,9.4,1.6,0.7,1.0,1.6,4.1,14.8,Kris Humphries
2015-16,30.0,WAS,NBA,PF,28.0,14.0,466.0,4.9,12.2,0.405,1.8,5.2,0.343,3.2,7.0,0.451,2.2,2.4,0.935,2.0,6.9,8.9,1.2,0.2,1.1,1.5,3.2,13.9,Kris Humphries
2015-16,30.0,PHO,NBA,PF,4.0,3.0,74.0,4.9,17.5,0.278,1.5,4.9,0.3,3.4,12.6,0.269,2.9,3.9,0.75,5.4,10.2,15.6,3.4,1.5,1.0,1.9,3.9,14.1,Kris Humphries
2015-16,30.0,ATL,NBA,PF,21.0,0.0,295.0,5.7,12.3,0.465,1.0,3.8,0.258,4.8,8.5,0.557,3.9,5.5,0.711,2.4,6.2,8.7,1.6,1.2,0.9,1.7,5.4,16.4,Kris Humphries
2016-17,31.0,ATL,NBA,PF,56.0,4.0,689.0,4.5,11.2,0.407,1.0,2.8,0.352,3.6,8.4,0.425,3.3,4.3,0.78,3.1,7.6,10.8,1.5,0.8,1.1,1.5,3.6,13.4,Kris Humphries
2013-14,24.0,NYK,NBA,PG,51.0,0.0,373.0,5.4,12.5,0.434,0.5,1.2,0.417,4.9,11.3,0.436,2.2,3.8,0.59,1.3,3.0,4.2,4.7,1.8,0.1,3.3,4.4,13.5,Toure' Murry
2014-15,25.0,TOT,NBA,"PG,SG",5.0,0.0,18.0,4.0,10.0,0.4,0.0,0.0,0.0,4.0,10.0,0.4,4.0,4.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,8.0,4.0,12.0,Toure' Murry
2014-15,25.0,UTA,NBA,PG,1.0,0.0,1.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Toure' Murry
2014-15,25.0,WAS,NBA,SG,4.0,0.0,17.0,4.2,8.5,0.5,0.0,0.0,0.0,4.2,8.5,0.5,4.2,4.2,1.0,2.1,0.0,2.1,2.1,2.1,0.0,8.5,4.2,12.7,Toure' Murry
